                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.97912,                0.61624,                0.98137,                0.70923,                0.73494,                0.71278,                0.32982,                 1.5979,                0.96511,                 1.3435,               0.001915,               0.001915,               0.001915
                    100,                0.99916,                0.62348,                0.97604,                0.66958,                0.75688,                0.72899,                0.33064,                 1.5836,                0.92901,                 1.3376,              0.0018325,              0.0018325,              0.0018325
                    101,                0.94352,                 0.6063,                 0.9683,                 0.7589,                 0.6747,                0.73385,                0.34054,                 1.5763,                0.93976,                 1.3505,                0.00175,                0.00175,                0.00175
                    102,                0.93242,                0.59632,                0.96908,                0.67058,                0.78484,                0.71647,                0.34289,                 1.5675,                0.91634,                 1.3292,              0.0016675,              0.0016675,              0.0016675
                    103,                0.94769,                0.58669,                0.96321,                0.64591,                0.77108,                0.69176,                0.33254,                  1.603,                0.89292,                 1.3144,               0.001585,               0.001585,               0.001585
                    104,                0.95098,                0.59255,                0.96054,                0.62256,                0.77108,                0.71665,                0.33427,                  1.592,                0.90316,                 1.3018,              0.0015025,              0.0015025,              0.0015025
                    105,                0.95635,                0.59621,                0.95315,                0.72816,                0.67775,                0.71771,                0.33388,                 1.6278,                0.93423,                  1.328,                0.00142,                0.00142,                0.00142
                    106,                0.92561,                0.58295,                0.96312,                0.66753,                0.72289,                0.70859,                  0.338,                 1.5777,                0.91811,                 1.3026,              0.0013375,              0.0013375,              0.0013375
                    107,                0.92512,                0.60106,                0.96209,                0.67779,                0.75904,                0.71303,                0.33961,                 1.5588,                0.92524,                 1.3045,               0.001255,               0.001255,               0.001255
                    108,                0.93231,                0.60219,                0.95934,                0.63955,                0.81236,                0.73672,                0.34915,                 1.5753,                0.92386,                 1.3059,              0.0011725,              0.0011725,              0.0011725
                    109,                0.90146,                0.57558,                 0.9428,                0.76755,                0.66265,                0.72911,                0.34127,                 1.5575,                0.87486,                 1.2845,                0.00109,                0.00109,                0.00109
                    110,                0.85778,                0.52456,                0.93983,                0.70289,                0.77108,                 0.7365,                0.34206,                 1.5511,                 0.8544,                 1.2873,              0.0010075,              0.0010075,              0.0010075
                    111,                 0.8545,                0.51759,                0.92126,                0.69439,                0.77108,                0.71954,                 0.3429,                 1.5331,                0.86215,                 1.2808,               0.000925,               0.000925,               0.000925
                    112,                0.84121,                0.50492,                0.93091,                0.70389,                0.80195,                0.73727,                0.34389,                 1.5046,                0.84195,                 1.2634,              0.0008425,              0.0008425,              0.0008425
                    113,                0.83686,                0.51373,                0.92472,                0.74554,                0.74699,                0.72905,                0.34101,                 1.4968,                0.82998,                 1.2689,                0.00076,                0.00076,                0.00076
                    114,                0.82792,                0.50653,                0.92757,                0.75597,                0.74646,                0.72724,                0.34775,                 1.4671,                0.82938,                 1.2815,              0.0006775,              0.0006775,              0.0006775
                    115,                 0.8625,                0.51279,                0.93882,                0.72399,                0.71084,                0.71737,                0.34084,                 1.4685,                0.84742,                  1.284,               0.000595,               0.000595,               0.000595
                    116,                0.79053,                 0.4779,                0.91685,                0.74671,                0.72289,                0.72977,                 0.3435,                 1.5188,                0.87886,                 1.2866,              0.0005125,              0.0005125,              0.0005125
                    117,                0.79464,                 0.4816,                0.92345,                0.73678,                0.70824,                0.71939,                  0.342,                 1.5074,                0.88813,                   1.28,                0.00043,                0.00043,                0.00043
                    118,                0.78718,                0.49267,                0.91459,                0.72529,                 0.6988,                0.72825,                0.34489,                 1.5017,                0.87306,                 1.2818,              0.0003475,              0.0003475,              0.0003475
                    119,                0.77808,                0.48413,                0.91452,                0.67467,                0.79518,                0.73698,                0.34203,                 1.5061,                0.86458,                   1.29,               0.000265,               0.000265,               0.000265
